1,Gilbert,Cedillo,1,Democrat,7/1/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
2,Paul,Krekorian,2,Democrat,1/5/10,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
3,Bob,Blumenfield,3,Democrat,7/1/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
4,David E.,Ryu,4,Democrat,7/1/15,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
5,Paul,Koretz,5,Democrat,7/1/09,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
6,Nury,Martinez,6,Democrat,8/9/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
7,Marqueece Ryu,Harris-Dawson,8,Democrat,7/1/15,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
8,Curren D.,"Price, Jr.",9,Democrat,7/1/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
9,Herb J.,"Wesson, Jr.",10,Democrat,7/1/05,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
10,Mike,Bonin,11,Democrat,7/1/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
11,Mitchell,Englander,12,Republican,7/2/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
12,Mitch,O'Farrell,13,Democrat,7/1/13,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
13,Jose,Huizar,14,Democrat,11/8/05,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
14,Joe,Buscaino,15,Democrat,1/31/12,,TRUE,2017-05-04T20:18:23.092Z,2017-05-04T20:18:23.092Z
